"","date","TotalDailyConsumption","TotalHH","DailyLPCD"
"444",2017-05-12,123514,949,130.151738672287
"445",2017-05-13,139271,949,146.755532139094
"446",2017-05-14,142635,949,150.300316122234
"447",2017-05-15,133886,949,141.081138040042
"448",2017-05-16,126654,949,133.460484720759
"449",2017-05-17,125404,949,132.143308746048
"450",2017-05-18,122149,949,128.713382507903
"451",2017-05-19,127354,949,134.198103266596
"452",2017-05-20,136507,949,143.842992623815
"453",2017-05-21,139024,949,146.495258166491
"454",2017-05-22,134228,949,141.441517386723
"455",2017-05-23,133103,949,140.256059009484
"456",2017-05-24,126318,949,133.106427818757
"457",2017-05-25,128522,949,135.428872497366
"458",2017-05-26,128493,949,135.398314014752
"459",2017-05-27,143661,949,151.381454162276
"460",2017-05-28,140052,949,147.578503688093
"461",2017-05-29,137069,949,144.435194942044
"462",2017-05-30,127147,949,133.979978925184
"463",2017-05-31,129121,949,136.060063224447
"464",2017-06-01,122390,949,128.967334035827
"465",2017-06-02,128387,949,135.286617492097
"466",2017-06-03,135902,949,143.205479452055
"467",2017-06-04,138848,949,146.309799789252
"468",2017-06-05,133983,949,141.18335089568
"469",2017-06-06,129697,949,136.667017913593
"470",2017-06-07,127885,949,134.757639620653
"471",2017-06-08,124560,949,131.253951527924
"472",2017-06-09,126213,949,132.995785036881
"473",2017-06-10,134856,949,142.103266596417
"474",2017-06-11,137832,949,145.239199157007
"475",2017-06-12,136767,949,144.116965226554
"476",2017-06-13,128385,949,135.284510010537
"477",2017-06-14,126400,949,133.192834562698
"478",2017-06-15,121546,949,128.077976817703
"479",2017-06-16,120424,949,126.895679662803
"480",2017-06-17,137587,949,144.981032665964
"481",2017-06-18,129471,949,136.428872497366
"482",2017-06-19,134055,949,141.259220231823
"483",2017-06-20,130350,949,137.355110642782
"484",2017-06-21,127312,949,134.153846153846
"485",2017-06-22,126350,949,133.140147523709
"486",2017-06-23,127044,949,133.871443624868
"487",2017-06-24,140526,949,148.077976817703
"488",2017-06-25,133263,949,140.424657534247
"489",2017-06-26,146519,949,154.393045310854
"490",2017-06-27,130467,949,137.478398314015
"491",2017-06-28,129136,949,136.075869336143
"492",2017-06-29,122818,949,129.418335089568
"493",2017-06-30,124748,949,131.452054794521
"494",2017-07-01,139099,949,146.574288724974
"495",2017-07-02,141173,949,148.759747102213
"496",2017-07-03,127914,949,134.788198103267
"497",2017-07-04,127593,949,134.449947312961
"498",2017-07-05,123654,949,130.299262381454
