"","id_service_point","date","MinCons_60"
"943",630,2018-04-17,0
"944",630,2018-04-18,0
"945",630,2018-04-19,0
"946",630,2018-04-20,0
"947",630,2018-04-21,0
"948",630,2018-04-22,0
"949",630,2018-04-23,0
"950",630,2018-04-24,0
"951",630,2018-04-25,0
"952",630,2018-04-26,0
"953",630,2018-04-28,0
"954",630,2018-04-29,0
"955",630,2018-04-30,0
"956",630,2018-05-01,0
"957",630,2018-05-02,0
"958",630,2018-05-03,0
"959",630,2018-05-04,20
"960",630,2018-05-05,0
"961",630,2018-05-06,0
"962",630,2018-05-07,0
"963",630,2018-05-08,0
"964",630,2018-05-09,0
"965",630,2018-05-10,0
"966",630,2018-05-11,0
"967",630,2018-05-12,0
"968",630,2018-05-13,0
"969",630,2018-05-14,0
"970",630,2018-05-15,0
"971",630,2018-05-16,0
"972",630,2018-05-17,0
"973",630,2018-05-18,0
"974",630,2018-05-19,0
"975",630,2018-05-20,0
"976",630,2018-05-21,0
"977",630,2018-05-22,28
"978",630,2018-05-23,0
"979",630,2018-05-24,0
"980",630,2018-05-25,0
"981",630,2018-05-26,0
"982",630,2018-05-27,0
"983",630,2018-05-28,0
"984",630,2018-05-29,0
"985",630,2018-05-30,0
"986",630,2018-05-31,0
"987",630,2018-06-01,0
"988",630,2018-06-02,0
"989",630,2018-06-03,0
"990",631,2018-04-01,0
"991",631,2018-04-02,3
"992",631,2018-04-03,0
