"","date","block","MeanCountPerHour","MeterCount","HourlyIndexReadingRate"
"343",2018-05-19,"YH_B7",17.6666666666667,18,98.15
"344",2018-05-20,"YH_B1",61.0833333333333,99,61.7
"345",2018-05-20,"YH_B2",131.791666666667,135,97.62
"346",2018-05-20,"YH_B3",24.5833333333333,25,98.33
"347",2018-05-20,"YH_B4",62.2083333333333,90,69.12
"348",2018-05-20,"YH_B5",109.041666666667,113,96.5
"349",2018-05-20,"YH_B6",68.5833333333333,92,74.55
"350",2018-05-20,"YH_B7",17.9583333333333,18,99.77
"351",2018-05-21,"YH_B1",48.6666666666667,99,49.16
"352",2018-05-21,"YH_B2",131.666666666667,135,97.53
"353",2018-05-21,"YH_B3",24.4166666666667,25,97.67
"354",2018-05-21,"YH_B4",47.4583333333333,90,52.73
"355",2018-05-21,"YH_B5",107.625,113,95.24
"356",2018-05-21,"YH_B6",54.875,92,59.65
"357",2018-05-21,"YH_B7",17.7916666666667,18,98.84
"358",2018-05-22,"YH_B1",53.9583333333333,99,54.5
"359",2018-05-22,"YH_B2",129.708333333333,135,96.08
"360",2018-05-22,"YH_B3",23.7916666666667,25,95.17
"361",2018-05-22,"YH_B4",51.1666666666667,90,56.85
"362",2018-05-22,"YH_B5",103.375,113,91.48
"363",2018-05-22,"YH_B6",55.0833333333333,92,59.87
"364",2018-05-22,"YH_B7",17,18,94.44
"365",2018-05-23,"YH_B1",49.75,99,50.25
"366",2018-05-23,"YH_B2",128.875,135,95.46
"367",2018-05-23,"YH_B3",23.7916666666667,25,95.17
"368",2018-05-23,"YH_B4",48.125,90,53.47
"369",2018-05-23,"YH_B5",105.625,113,93.47
"370",2018-05-23,"YH_B6",49.5,92,53.8
"371",2018-05-23,"YH_B7",17.2916666666667,18,96.06
"372",2018-05-24,"YH_B1",50.0416666666667,99,50.55
"373",2018-05-24,"YH_B2",128.75,135,95.37
"374",2018-05-24,"YH_B3",24.0416666666667,25,96.17
"375",2018-05-24,"YH_B4",48.2916666666667,90,53.66
"376",2018-05-24,"YH_B5",101.875,113,90.15
"377",2018-05-24,"YH_B6",49.5833333333333,92,53.89
"378",2018-05-24,"YH_B7",17.25,18,95.83
"379",2018-05-25,"YH_B1",52.375,99,52.9
"380",2018-05-25,"YH_B2",130.416666666667,135,96.6
"381",2018-05-25,"YH_B3",24.4583333333333,25,97.83
